Unit , Key , Key Size , Location , Date Measured , Date Processed,Contact Force Threshold (gf),Peak Force Down (gf),Peak Force Up (gf),Peak Travel Down (mm),Peak Travel Up (mm),Peak Lag Down (mm),Bottom Force Down (gf),Bottom Force Up (gf),Bottom Travel Down (mm),Bottom Travel Up (mm),Click Ratio Down,Click Ratio Up,Travel@80g Down (mm),Travel@160g Down (mm),Travel@500g Down (mm),Drop Stroke Relative to Peak (mm),Slope Before Peak (gf/mm),Slope After Peak (gf/mm),Back-Slope (gf/mm),Final-Slope (gf/mm),Energy total Down (mJ),Energy total Up (mJ),Force at Make Point Down (gf),Displacement at Make Point Down (mm),Percent of Travel at Make Point Down,Peak Force Ratio Down/Up,X (mm),Y (mm),WarningFlag,WarningMessage,BPGVersion 
FPW71850Q4EHW6C28,Esc,D,M,26- 8-2017 17:26:54,26-Aug-17,1,69.0926,64.8892,0.17804,0.43572,0,46.3758,43.1312,0.30245,0.30976,0.32879,0.33531,0.34858,0.36889,0.4244,0.16897,388.0664,182.6046,4240.2637,6134.9976,0.35873,0.32664,91.6702,0.35169,0.95337,1.0648,52.31,-40.99,0,      ,Build 4.2.0 (26 Jan 2016) Version: X530 
FPW71850Q4EHW6C28,Esc,D,L,26- 8-2017 17:26:54,26-Aug-17,1,70.5761,61.3237,0.32046,0.7308,0.14242,48.4747,41.0975,0.41982,0.42522,0.31316,0.32983,0.50346,0.62424,0.71656,0.1675,220.2345,222.4322,686.3047,3670.3492,0.64084,0.57426,60.161,0.47269,0.75722,1.1509,63.01,-40.99,0,      ,Build 4.2.0 (26 Jan 2016) Version: X530 
FPW71850Q4EHW6C28,Esc,D,R,26- 8-2017 17:26:54,26-Aug-17,1,72.2765,61.6451,0.33868,0.73402,0.16063,47.6483,40.6541,0.43256,0.4373,0.34075,0.34051,0.52612,0.6365,0.7198,0.17284,213.4078,262.333,737.9703,4008.4217,0.60941,0.50919,58.108,0.48805,0.76677,1.1725,41.51,-40.99,0,      ,Build 4.2.0 (26 Jan 2016) Version: X530 
FPW71850Q4EHW6C28,F1,C,M,26- 8-2017 17:26:54,26-Aug-17,1,71.8347,63.5308,0.12352,0.39643,0,55.3296,48.5541,0.20382,0.19974,0.22976,0.23574,0.28948,0.30729,0.3624,0.16448,581.5451,205.5497,4382.908,6206.1227,0.34368,0.31235,96.3461,0.29238,0.95149,1.1307,28.5,-40.98,0,      ,Build 4.2.0 (26 Jan 2016) Version: X530
