USN,PCB_SN,PCB_VENDOR,PCB_LOTN,PCB_PACK_TIME,LINE,MO,CONFIG,UPN,TRNDATE,KEYNAME,TRACEID_PSA,CPN_PSA,BRAND_PSA,CPN_KC,TRACEID_KC,MACHINEID_BF,ZONE_BF,KC_NUBHIGH,KC_CAVITY,KC_ATTACH_MACHINE,HEAT_STAKE_MACHINE,PSA_ATTACH_MACHINE,CPN_BF,REELID_BF,TRACEID_BF,BRAND_BF,KEYTYPE_BF,MACHINEID_SH,ZONE_SH,CPN_SH,REELID_SH,TRACEID_SH,BRAND_SH,KEYTYPE_SH,BAKEINDATE_SH,BAKEOUTDATE_SH,CHAMBERNO_SH,Oven_Temp,BurnIn_Duration,PCB_CARRIER,UIC_CARRIER,COMMON_CARRIER,COMMON_CARRIER_SCANTIME,R_REELID_BF,R_TRACEID_BF,R_BRAND_BF,R_REELID_SH,R_TRACEID_SH,R_BRAND_SH
FPW71850Q4EHW6C28,FPW71767QQFJ3HR28,COMPEQ,A700813700001-1517,4/29/2017 10:16:12 PM,TB1-1FT-07,000028154665,,AE81.A0727.380,5/4/2017 5:40:45 PM,A,L170325802-20170418-58,946-06497$001,KAICHENG,604-15441$001,604-15441$001-3334AUSA  170331N8D0813-G0602-H2,L07-UIC2,217,,,WIZS_TB1-1FT-07_2_KC1,WIZS_TB1-1FT-07_B-1_HT1,WIZS_TB1-1FT-07_02_PS1,817-01092$004,F81619690101766B4,170217-H121-170417,HIP,A,L07-UIC2,221,870-02821$AL0A01,M876218751617KFUA,P$J41KB17170419B2401-20170419-23,ALPS,A,,,,,,X396H0001B081A01133,X530H002UIC698,CMX396CARANS01878,5/4/2017 5:53:52 PM,,,,,,
FPW71850Q4EHW6C28,FPW71767QQFJ3HR28,COMPEQ,A700813700001-1517,4/29/2017 10:16:12 PM,TB1-1FT-07,000028154665,,AE81.A0727.380,5/4/2017 5:40:52 PM,B,L170325802-20170418-58,946-06497$001,KAICHENG,604-15441$001,604-15441$001-3334AUSA  170331N8D0813-G0602-H2,L07-UIC3,317,,,WIZS_TB1-1FT-07_2_KC1,WIZS_TB1-1FT-07_B-1_HT1,WIZS_TB1-1FT-07_02_PS1,817-01092$004,F816196901517617A,170218/170217-H105-170416,HIP,A,L07-UIC3,321,870-02821$AL0A01,F876218751817E8NH,P$J41KB17170419B2402-20170419-23,ALPS,A,5/2/2017 7:21:17 PM,5/3/2017 12:23:54 AM,2-08,55,5,X396H0001B081A01133,X530H002UIC698,CMX396CARANS01878,5/4/2017 5:53:52 PM,,,,,,
FPW71850Q4EHW6C28,FPW71767QQFJ3HR28,COMPEQ,A700813700001-1517,4/29/2017 10:16:12 PM,TB1-1FT-07,000028154665,,AE81.A0727.380,5/4/2017 5:40:45 PM,BACKSLASH,L170325802-20170418-58,946-06497$001,KAICHENG,604-15441$001,604-15441$001-3334AUSA  170331N8D0813-G0602-H2,L07-UIC2,217,,,WIZS_TB1-1FT-07_2_KC1,WIZS_TB1-1FT-07_B-1_HT1,WIZS_TB1-1FT-07_02_PS1,817-01092$004,F81619690101766B4,170217-H121-170417,HIP,AF,L07-UIC2,221,870-02821$AL0A01,M876218751617KFUA,P$J41KB17170419B2401-20170419-23,ALPS,AF,,,,,,X396H0001B081A01133,X530H002UIC698,CMX396CARANS01878,5/4/2017 5:53:52 PM,,,,,,
