Unit , Key , Key Size , Location , Date Measured , Date Processed , Time (s), Displacement (mm), Force (gf), Voltage (VDC), KeyID, Step 
FPW71850Q4EHW6C28,Esc,D,M,26- 8-2017 17:26:54,26-Aug-17,0,-0.088186,0.33882,-0.00025994,1,5
FPW71850Q4EHW6C28,Esc,D,M,26- 8-2017 17:26:54,26-Aug-17,0.006,-0.079787,0.056021,-0.0002664,1,5
FPW71850Q4EHW6C28,Esc,D,M,26- 8-2017 17:26:54,26-Aug-17,0.013,-0.071527,0.34097,-0.0002695,1,5
FPW71850Q4EHW6C28,Esc,D,M,26- 8-2017 17:26:54,26-Aug-17,0.019,-0.063597,0.0081339,-0.00025429,1,5
FPW71850Q4EHW6C28,Esc,D,M,26- 8-2017
